"","F3D0","F3D1","F3D141","F3D142","F3D143","F3D144","F3D145","F3D146","F3D147","F3D148","F3D149","F3D150","F3D2","F3D3","F3D5","F3D6","F3D7","F3D8","F3D9"
"otu71",0,0,30,0,17,0,0,9,25,21,75,52,0,0,0,0,0,0,0
"otu72",26,3,17,0,0,0,6,6,12,16,14,0,38,19,11,9,19,8,18
"otu73",92,12,21,0,0,0,0,0,0,0,0,0,37,0,0,16,0,18,15
"otu74",10,12,0,0,0,0,0,0,66,18,24,0,16,0,9,38,0,6,12
"otu75",0,15,10,0,0,0,9,19,18,5,13,12,37,0,13,17,5,13,25
"otu76",0,0,21,0,10,12,18,25,16,21,36,25,10,0,0,11,4,0,0
"otu77",14,0,0,0,0,0,0,0,11,23,19,0,29,0,24,18,10,17,39
"otu78",24,10,0,0,0,0,0,16,10,0,0,0,46,0,12,34,0,21,24
"otu79",48,52,0,0,0,0,0,0,0,0,0,0,62,14,18,0,0,0,0
"otu80",17,0,0,0,14,0,13,0,24,0,0,0,43,0,13,11,0,17,28
"otu81",0,31,0,0,3,0,3,3,18,19,7,0,6,15,18,16,18,13,10
"otu82",0,0,0,0,0,0,0,34,20,16,14,0,0,0,0,0,6,46,41
"otu83",0,18,0,15,0,14,0,26,33,13,17,0,37,0,0,0,0,0,0
"otu84",0,0,13,5,17,0,13,13,0,22,31,27,9,0,10,0,0,0,6
"otu85",0,0,0,0,0,0,0,0,0,39,0,0,38,0,55,34,0,0,0
"otu86",0,0,12,13,0,0,0,14,14,19,60,23,0,0,0,0,0,0,0
"otu87",0,43,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,35,0
"otu88",0,0,12,0,6,10,14,13,0,23,42,12,0,0,6,11,0,0,0
"otu89",0,4,8,0,0,0,5,14,11,9,23,11,19,6,6,7,0,9,8
"otu90",0,0,20,0,9,7,0,16,30,17,0,9,23,0,0,0,0,0,0
"otu91",0,0,7,0,0,0,4,0,0,0,0,14,0,0,44,30,0,0,32
"otu92",0,0,0,0,0,8,0,0,26,0,29,16,0,0,16,14,0,18,0
"otu93",25,0,0,0,0,0,0,8,0,0,5,0,16,0,0,24,0,17,28
"otu94",0,0,0,0,0,0,0,0,68,0,0,0,54,0,0,0,0,0,0
"otu95",13,0,0,0,0,0,9,0,21,14,0,0,36,15,0,0,0,0,12
"otu96",0,0,0,12,0,16,27,13,12,16,0,12,0,0,0,0,0,11,0
"otu97",4,7,0,0,0,0,0,0,0,0,0,0,32,2,0,19,8,26,19
"otu98",0,0,14,5,6,6,10,15,0,15,24,10,0,0,6,0,0,0,0
"otu99",9,17,0,0,0,0,0,0,0,0,0,0,46,0,12,11,0,12,0
"otu100",0,8,0,0,0,0,0,0,0,0,0,0,26,5,11,29,8,11,8
"otu101",24,15,0,0,0,0,0,0,10,0,26,10,0,0,0,0,0,16,0
"otu102",0,0,0,0,0,0,0,12,16,8,41,23,0,0,0,0,0,0,0
"otu103",19,24,0,0,0,0,0,0,0,0,0,0,32,0,0,0,11,11,0
"otu104",7,24,11,0,0,0,0,0,0,0,19,8,21,0,0,0,0,7,0
"otu105",0,0,0,0,0,0,0,0,0,0,8,0,37,21,16,11,0,0,0
"otu106",11,6,0,0,0,0,0,0,13,0,11,9,12,0,5,8,0,10,7
"otu107",35,16,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
"otu108",0,0,10,0,0,0,0,11,8,9,32,20,0,0,0,0,0,0,0
"otu109",0,0,0,0,0,0,0,17,0,0,0,0,21,0,0,20,0,0,32
"otu110",10,0,4,7,6,0,6,16,13,13,9,5,0,0,0,0,0,0,0
"otu111",10,7,0,0,0,0,0,0,0,0,0,0,35,12,0,0,0,9,14
"otu112",0,37,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
"otu113",0,0,0,0,0,0,0,13,13,11,12,7,0,0,0,14,0,0,0
"otu114",20,7,0,0,0,0,0,11,0,0,0,0,11,0,11,0,0,0,9
"otu115",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,19,17,14,14
"otu116",17,16,0,0,0,0,0,0,0,0,0,0,21,0,0,14,0,0,0
"otu117",0,0,0,0,0,0,0,0,0,24,43,0,0,0,0,0,0,0,0
"otu118",0,26,0,0,0,0,0,22,0,0,0,0,17,0,0,0,0,0,0
"otu119",0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0
"otu120",7,0,9,0,0,0,0,0,0,0,0,0,39,0,9,0,0,0,0
"otu121",0,0,0,3,12,0,15,0,16,13,4,0,0,0,0,0,0,0,0
"otu122",0,9,0,0,0,0,0,0,0,0,0,13,9,0,0,13,0,11,7
"otu123",0,4,0,0,0,0,0,0,0,12,16,0,10,6,4,0,4,4,0
"otu124",0,0,7,0,0,0,0,0,0,11,17,0,0,0,0,0,0,10,15
"otu125",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu126",0,7,0,0,0,0,0,0,0,0,10,0,7,0,8,0,0,16,9
"otu127",9,8,0,0,0,0,2,0,0,5,0,0,14,0,2,5,0,5,6
"otu128",0,10,0,0,0,0,4,0,5,5,8,0,10,0,4,5,0,0,5
"otu129",0,0,0,0,0,0,0,0,10,0,26,15,0,0,0,0,0,0,0
"otu130",0,3,0,0,0,0,0,0,0,0,0,0,8,0,9,9,0,0,19
"otu131",21,8,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,7
"otu132",0,0,0,0,6,0,0,0,0,17,24,0,0,0,0,0,0,0,0
"otu133",0,0,0,0,0,0,0,0,0,0,22,23,0,0,0,0,0,0,0
"otu134",7,0,0,6,0,0,5,0,5,0,7,6,5,0,0,0,0,3,0
"otu135",0,0,0,0,0,0,0,0,0,0,26,0,18,0,0,0,0,0,0
"otu136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
"otu137",9,0,0,0,0,0,7,5,0,0,12,9,0,0,0,0,0,0,0
"otu138",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17
"otu139",0,0,0,0,0,0,0,0,0,0,26,0,0,14,0,0,0,0,0
"otu140",10,6,0,0,0,0,0,15,0,0,0,0,8,0,0,0,0,0,0
"otu141",0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
"otu142",0,0,0,0,0,0,0,10,15,0,12,0,0,0,0,0,0,0,0
"otu143",21,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0
"otu144",0,0,0,0,0,0,0,0,13,0,7,0,0,13,3,0,0,0,0
"otu145",0,0,0,0,0,0,0,0,0,0,15,0,20,0,0,0,0,0,0
"otu146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22
"otu147",0,0,0,0,0,0,4,0,6,15,9,0,0,0,0,0,0,0,0
"otu148",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,4,0,0,10
"otu149",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,10
"otu150",9,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
"otu151",0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu152",0,13,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
"otu153",0,0,0,0,0,0,0,0,9,5,0,0,7,0,0,0,0,0,8
"otu154",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,5,9,0
"otu155",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,11,0,0,9
"otu156",0,0,0,0,0,0,0,0,12,7,6,0,0,0,0,0,0,0,0
"otu157",5,0,3,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0
"otu158",4,0,0,0,0,0,4,0,15,0,0,0,0,0,0,0,0,0,0
"otu159",0,0,0,0,0,0,0,0,5,9,9,0,0,0,0,0,0,0,0
"otu160",10,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
"otu161",6,0,0,0,0,0,0,0,0,9,0,0,0,7,0,0,0,0,0
"otu162",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"otu163",0,2,0,0,0,0,0,0,5,0,0,0,6,0,4,0,2,3,0
"otu164",0,0,0,0,0,0,0,6,0,6,9,0,0,0,0,0,0,0,0
"otu165",0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
"otu166",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,16
"otu167",3,0,0,0,0,0,0,0,0,0,5,0,3,0,0,9,0,0,0
"otu168",0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,5
"otu169",0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0
"otu170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"otu171",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"otu172",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9
"otu173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"otu174",10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"otu175",0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0
"otu176",0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0
"otu177",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu178",0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5
"otu179",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
"otu180",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0
"otu181",6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"otu182",0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"otu183",0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
"otu184",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu185",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu186",0,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,4
"otu187",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6
"otu188",0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"otu189",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu190",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"otu191",0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0
"otu192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"otu193",0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
"otu194",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"otu195",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"otu196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"otu197",0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
"otu198",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"otu199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"otu200",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"otu201",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"otu202",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"otu203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"otu204",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu205",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu206",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"otu207",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"otu208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"otu209",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"otu210",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"otu211",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
